Site ID,Longitude,Latitude,Sample Group,Date,Time Sampled,Source,Temp,DO,SC,Field pH,Lab pH,Alkalinity,Gas Rover Reading,F,Cl,SO4,Br,NO3,Al,Ba,Ca,Fe,K,Mg,Mn,Na,P,Si,Sr,Ti,Li,Be,Ni,Cu,As,Sr.1,Cd,Tl,Pb,U,87Sr/86Sr,87Sr/86Sr Error,87Sr/86Sr Ratio,Benzene,Toluene,Ethylbenzene,"m,p-Xylene",o-Xylene,Methane,Ethane,Propane,δ13C1(‰),δDC1(‰),δ13C2(‰),DIC (mg C/L),DIC (SD),DIC (mol/L C),[H+],[OH-],a0 [H2CO3],a1 [HCO3-],a2 [CO32-],Alk (eq/L),Alk (mg CaCO3/L),NEAR_UOG_DIST,Impoundment_DIST,Recent_Spill_DIST,TPI300,Near_Road_DIST,NEAR_MINE_DIST,NEAR_COG_DIST
Sample_001,-80.1,40.16,Extra,2024-05-06,08:45:00,well,13.5,8.31,1011.0,8.99,8.73,,18,1.26,4.79,13.3,0.0339805825242718,2.62,<0.01,0.07,3.35,<0.005,1.22,1.71,<0.005,267.0,0.21,4.77,0.11,bd,15.4,<0.05,0.92,3.79,0.67,104.27121903578588,0.05,1.54,1.46,0.05,0.712398,1.2e-05,171.0,0.14,0.72,0.13,0.15,0.12,0.0012,<0.0002,<0.0003,,,,137.98,1.172,0.011498333,1.023292992e-09,9.77237221e-06,0.001942626,0.951457024,0.04660035,0.012021594,601.0797039,2176.241879,11113.03163,4564.651258,4.0,689.6339848793846,0.0,
Sample_002,-80.28,40.23,I,2024-05-06,11:40:00,well,13.7,2.06,608.0,7.05,7.35,,<5,0.123,28.4,21.8,0.1868932038834951,0.75,0.01,0.06,89.5,<0.005,1.96,18.6,<0.005,7.99,0.02,6.16,0.46,bd,14.4,<0.05,0.22,5.41,0.18,390.9969387290407,<0.05,0.17,1.29,0.64,0.711234,9e-06,215.0,,,,,,<0.0002,<0.0002,<0.0003,,,,60.99,0.255,0.0050825,8.912509381e-08,1.122018454e-07,0.150907508,0.848615281,0.000477211,0.004317961,215.8980547,6613.129281,232.8121011,11379.67005,2.0,828.2623455256291,0.0,
Sample_003,-80.09,40.12,HS/S,2024-05-06,15:20:00,spring,13.9,6.88,501.0,7.09,7.22,,10,0.102,12.5,25.3,0.0226537216828478,2.18,0.01,0.16,72.4,<0.005,1.42,18.6,0.01,6.39,0.02,5.26,0.4,bd,9.02,<0.05,0.35,0.61,0.17,354.14192852341654,<0.05,0.05,0.08,0.26,0.712074,8e-06,215.0,0.16,0.23,0.13,0.21,0.13,0.00062,<0.0002,<0.0003,,,,47.11,0.357,0.003925833,8.128305162e-08,1.230268771e-07,0.13947484,0.859994892,0.000530269,0.003380402,169.0200924,497.9884396,10700.94677,406.5711712,4.0,1680.192842055368,0.0,645.0419016786365
Sample_004,-80.24,40.35,Extra,2024-05-07,09:00:00,well,14.0,9.07,530.0,7.41,7.61,,5,0.106,18.1,32.1,0.1213592233009708,6.69,0.01,0.12,55.0,<0.005,1.46,23.4,<0.005,18.0,0.02,4.43,0.63,bd,9.13,<0.05,0.21,2.47,0.12,564.0349701457404,<0.05,0.14,0.65,0.63,0.71143,8e-06,216.0,0.12,0.14,<0.04,0.12,0.09,<0.0002,<0.0002,<0.0003,,,,56.02,0.119,0.004668333,3.89045145e-08,2.570395783e-07,0.071947149,0.926858826,0.001194025,0.004338252,216.9126152,2991.209164,5783.635955,5476.030625,5.0,231.1165626448739,2.650470133512756,
Sample_005,-80.31,40.31,HS/I,2024-05-08,12:00:00,well,13.5,1.14,957.0,7.03,7.41,,<5,0.152,128.0,18.2,0.0679611650485437,1.34,0.01,0.24,78.1,0.01,2.02,31.1,0.01,65.4,0.01,5.83,2.14,bd,12.3,<0.05,0.18,1.24,0.07,1914.0779842829768,<0.05,0.15,0.15,0.07,0.711645,1.1e-05,215.0,<0.04,0.1,<0.04,0.11,0.09,0.0018,<0.0002,<0.0003,,,,61.94,0.051,0.005161667,9.332543008e-08,1.071519305e-07,0.156906999,0.842640476,0.000452525,0.004354115,217.7057324,776.9934578,937.3510603,7869.230059,4.0,1370.442127596154,,
Sample_006,-80.51,40.26,Extra,2024-05-08,17:30:00,well,13.8,7.62,612.0,6.75,7.41,,<5,0.141,14.2,80.7,0.0307443365695792,4.69,0.01,0.06,85.3,<0.005,1.87,20.5,<0.005,6.8,0.02,7.53,0.32,bd,31.7,<0.05,0.47,2.26,0.06,308.48154960490325,<0.05,<0.05,0.08,0.12,0.711622,8e-06,215.0,,,,,,<0.0002,<0.0002,<0.0003,,,,63.24,0.238,0.00527,1.77827941e-07,5.623413252e-08,0.261836498,0.737955518,0.000207984,0.003891096,194.5548068,2792.941038,9739.385046,15861.07921,5.0,66.1458374917384,,
Sample_007,-80.24,40.35,Extra,2024-05-07,14:05:00,spring,11.5,8.1,598.0,7.14,7.06,,13,0.105,15.5,30.6,0.1019417475728155,6.66,0.01,0.11,75.0,<0.005,1.55,23.5,<0.005,13.5,0.02,4.7,0.55,bd,7.95,<0.05,<0.05,0.14,<0.05,497.2218956,<0.05,<0.05,<0.05,0.57,0.711333,9e-06,214.0,,,,,,<0.0002,<0.0002,<0.0003,,,,73.45,0.781,0.006120833,7.244359601e-08,1.380384265e-07,0.126213288,0.873182617,0.000604095,0.005352066,267.6032995,2852.927538,5641.387552,5486.446355,2.0,345.2839509518489,0.0,
Sample_008,-80.29,40.08,Extra,2024-05-07,17:15:00,well,14.8,8.69,623.0,7.13,7.25,,15,0.082,12.6,41.5,0.0347896440129449,7.08,0.02,0.08,95.8,<0.005,1.59,15.4,<0.005,8.97,0.01,6.97,0.44,bd,10.1,<0.05,0.24,9.83,0.09,399.8448748613752,<0.05,<0.05,0.73,0.39,0.712277,9e-06,214.0,,,,,,<0.0002,<0.0002,<0.0003,,,,72.03,0.187,0.0060025,7.413102413e-08,1.348962883e-07,0.128776356,0.870635022,0.000588622,0.005233114,261.6556943,14045.87314,5745.463917,6287.954908,5.0,424.0191879454324,666.1196299710862,
Sample_009,-80.31,40.14,Extra,2024-05-07,19:00:00,well,13.7,5.04,674.0,7.13,7.3,,<5,0.095,49.6,56.3,0.0370981038746908,4.05,0.02,0.05,88.3,<0.005,1.71,16.3,<0.005,19.7,0.02,5.82,0.23,bd,6.24,<0.05,0.19,4.15,0.06,217.2092090606604,<0.05,<0.05,0.42,0.22,0.712263,9e-06,213.0,,,,,,<0.0002,<0.0002,<0.0003,,,,58.05,0.051,0.0048375,7.413102413e-08,1.348962883e-07,0.128776356,0.870635022,0.000588622,0.004217453,210.8726299,11557.16731,8467.839608,9877.287932,6.0,73.62622787528518,0.0,
Sample_010,-80.31,40.32,HS/I,2024-05-08,15:15:00,well,13.2,1.01,605.0,7.5,7.74,,<5,0.269,51.8,17.1,0.0931574608408903,3.99,0.01,0.24,45.3,<0.005,2.29,19.4,<0.005,45.1,0.02,4.44,1.06,bd,11.6,<0.05,0.2,1.16,0.11,973.3717280616996,<0.05,<0.05,0.2,0.16,0.711516,8e-06,213.0,<0.04,<0.04,<0.04,<0.08,<0.06,0.0053,<0.0002,<0.0003,,,,54.08,0.017,0.004506667,3.16227766e-08,3.16227766e-07,0.059262593,0.939248798,0.001488609,0.004246583,212.3291592,906.9472298,911.9180324,7699.419003,2.0,1612.407479001258,,
