SC,Br,Cl,Ba,Fe,Sr,Date
617.0,0.072,6.52,0.112,0.185,0.244,2022-05-10
784.0,0.072,13.7,0.0991,0.185,0.247,2022-06-16
666.0,0.072,15.0,0.156,0.185,0.225,2022-10-26
593.0,0.072,15.5,0.0966,0.185,0.229,2022-11-21
622.0,0.362,6.49,0.0998,0.185,0.235,2023-02-28
604.0,0.362,7.65,0.0949,0.185,0.251,2023-03-22
773.0,0.362,6.44,0.0964,0.185,0.23,2023-04-20
561.0,0.362,7.93,0.0931,0.185,0.234,2023-05-18
683.0,0.362,17.1,0.0945,0.185,0.263,2023-06-30
593.0,50.9,,9.06,0.925,37.5,2023-07-31
606.0,0.362,12.7,0.0916,0.185,0.235,2023-08-24
670.0,0.362,21.8,0.115,0.185,0.252,2023-09-29
662.0,0.362,20.9,0.0931,0.185,0.242,2023-10-27
651.0,0.362,16.7,0.0865,0.185,0.232,2023-11-15
699.0,0.362,20.2,0.106,0.185,0.26,2023-12-15
658.0,0.362,7.56,0.109,0.185,0.256,2024-01-29
584.0,0.107,6.88,0.0902,0.185,0.246,2024-05-02
685.0,0.107,15.6,0.104,0.185,0.246,2024-08-23
713.0,0.107,22.2,0.101,0.185,0.241,2024-12-02
740.0,0.362,24.6,0.126,0.185,0.286,2023-12-15
709.0,0.362,20.1,0.113,0.185,0.276,2024-01-29
621.0,0.107,15.9,0.0965,0.185,0.264,2024-05-02
744.0,0.107,18.4,0.124,0.185,0.286,2024-08-23
757.0,0.107,19.2,0.118,0.185,0.274,2024-12-02
668.0,0.072,10.7,0.0834,0.185,0.285,2022-05-11
804.0,0.072,18.4,0.1,0.185,0.347,2022-06-17
,,,,,,2022-10-26
,,,,,,2022-11-21
766.0,0.362,15.3,0.0813,0.185,0.353,2023-02-28
749.0,0.362,15.5,0.0752,0.185,0.354,2023-03-22
894.0,0.362,11.4,0.0811,0.185,0.331,2023-04-20
704.0,0.362,11.5,0.0752,0.185,0.318,2023-05-18
,,,,,,2023-06-29
,,,,,,2023-07-26
,,,,,,2023-08-24
,,,,,,2023-09-28
,,,,,,2023-10-27
,,,,,,2023-11-15
,,,,,,2023-12-15
865.0,0.362,12.6,0.0851,0.185,0.374,2024-01-26
767.0,0.107,13.5,0.0458,0.185,0.307,2024-05-02
,,,,,,2024-08-21
,,,,,,2024-12-02
612.0,0.072,16.0,0.0678,0.185,0.282,2022-05-11
717.0,0.072,13.4,0.0852,0.185,0.32,2022-06-17
1210.0,0.072,15.9,0.0695,0.185,0.404,2022-10-28
1060.0,0.072,9.76,0.0683,0.248,0.311,2022-11-22
714.0,0.362,11.3,0.0994,0.185,0.373,2023-02-28
645.0,0.362,10.0,0.0492,0.185,0.293,2023-03-23
879.0,0.362,12.0,0.0497,0.185,0.291,2023-04-20
733.0,0.362,12.5,0.0466,0.185,0.31,2023-05-18
722.0,0.362,13.4,0.0607,0.185,0.349,2023-06-29
848.0,0.362,13.8,0.0633,0.185,0.345,2023-07-27
726.0,0.362,13.7,0.071,0.185,0.319,2023-08-25
741.0,0.362,13.4,0.0691,0.185,0.308,2023-09-29
725.0,0.362,12.1,0.074,0.185,0.349,2023-10-27
824.0,0.362,13.8,0.0862,0.185,0.358,2023-11-17
857.0,0.362,12.3,0.0683,0.185,0.357,2023-12-15
800.0,0.362,11.8,0.0475,0.185,0.345,2024-01-26
,,,,,,2024-05-01
873.0,0.107,21.4,0.087,0.92,0.376,2024-08-23
,,,,,,2024-12-03
587.0,0.072,3.13,0.103,0.185,0.227,2022-05-10
,,,,,,2022-06-16
,,,,,,2022-10-26
,,,,,,2022-11-21
297.0,0.362,3.16,0.112,0.185,0.206,2023-02-28
489.0,0.362,3.85,0.0773,0.185,0.173,2023-03-23
,,,,,,2023-04-20
,,,,,,2023-05-18
,,,,,,2023-06-29
,,,,,,2023-07-26
,,,,,,2023-08-24
,,,,,,2023-09-28
,,,,,,2023-10-26
,,,,,,2023-11-15
,,,,,,2023-12-15
569.0,0.362,7.56,0.0924,0.185,0.173,2024-01-26
,,,,,,2024-05-01
,,,,,,2024-08-21
,,,,,,2024-12-02
13600.0,54.1,,0.0751,0.185,0.192,2022-05-10
11980.0,48.4,,6.29,0.185,47.7,2022-06-16
,,,,,,2022-10-26
11000.0,0.072,,3.83,0.185,36.8,2022-11-22
7480.0,26.4,,2.17,0.185,18.9,2023-02-28
8750.0,33.7,,2.47,0.185,26.4,2023-03-22
9670.0,31.8,,2.21,0.185,21.6,2023-04-20
10300.0,40.0,,2.43,0.185,27.2,2023-05-18
,,,,,,2023-06-29
11000.0,42.2,,2.33,0.185,27.0,2023-07-27
7670.0,29.6,,2.1,0.185,22.1,2023-08-24
,,,,,,2023-09-28
,,,,,,2023-10-26
,,,,,,2023-11-15
,,,,,,2023-12-15
,11.7,,0.949,0.185,9.34,2024-01-25
4740.0,14.7,,0.754,0.185,7.68,2024-05-03
,,,,,,2024-08-21
,,,,,,2024-12-02
3250.0,9.27,867.0,1.22,0.185,1.5,2022-05-10
2236.0,5.69,578.0,0.944,0.185,1.18,2022-06-16
3610.0,10.5,,1.57,0.185,1.62,2022-10-27
3860.0,11.0,,1.67,0.185,1.58,2022-11-21
2750.0,6.77,645.0,0.98,0.185,1.06,2023-02-28
2230.0,5.58,524.0,0.786,0.185,0.914,2023-03-22
2020.0,3.62,351.0,0.632,0.185,0.704,2023-04-20
1800.0,4.05,393.0,0.672,0.186,0.781,2023-05-18
2370.0,5.99,580.0,0.853,0.185,1.0,2023-06-29
2400.0,6.24,570.0,0.881,0.185,1.03,2023-07-27
,,,,,,2023-08-24
2680.0,6.52,602.0,0.891,0.185,1.06,2023-09-28
,,,,,,2023-10-27
2530.0,6.81,655.0,0.936,0.185,1.07,2023-11-17
2890.0,7.06,689.0,0.88,0.185,1.11,2023-12-14
2280.0,5.06,508.0,0.681,0.185,0.92,2024-01-26
1230.0,2.07,204.0,0.405,0.185,0.525,2024-05-02
1560.0,3.4,301.0,0.616,0.185,0.701,2024-08-22
,5.28,517.0,0.731,0.185,0.898,2024-12-03
271.0,0.072,19.6,0.0542,0.185,0.118,2022-05-10
406.0,0.483,48.8,0.0259,0.185,0.131,2022-06-16
364.0,0.432,46.7,0.0355,0.185,0.136,2022-10-26
281.0,0.072,18.6,0.0309,0.185,0.14,2022-11-21
251.0,0.362,21.6,0.0242,0.185,0.14,2023-02-28
309.0,0.362,32.6,0.0243,0.185,0.142,2023-03-23
537.0,0.362,61.7,0.0299,0.185,0.142,2023-04-20
482.0,0.362,83.7,0.0361,0.185,0.182,2023-05-18
341.0,0.362,32.7,0.0388,0.185,0.212,2023-06-28
326.0,0.362,28.7,0.0395,0.185,0.222,2023-07-27
267.0,0.362,24.1,0.0282,0.185,0.16,2023-08-23
390.0,0.362,50.2,0.0545,0.185,0.239,2023-09-28
435.0,0.362,48.5,0.0439,0.185,0.236,2023-10-27
