Analyte,Unit,n,Min,Max,Mean,Median,5th Percentile,25th Percentile,75th Percentile,95th Percentile,MCL/SMCL limit,% Exceeding MCL/SMCL
DO,mg/L,90,0.278,9.92,3.955,2.975,0.336,0.669,7.167,9.103,-,-
SC,µS/cm,90,230.0,3485.0,782.881,658.0,428.635,556.25,816.75,1580.8,-,-
pH,pH unit,90,6.05,8.99,7.135,7.04,6.564,6.885,7.278,8.046,6.5-8.5,8.9% (8)
Alkalinity,mg CaCO3/L,80,43.0,668.0,272.449,264.5,170.915,224.75,304.25,442.0,-,-
Air [CH4],"ppm, max",83,5.0,132.0,8.241,5.0,5.0,5.0,5.0,15.9,-,-
F,mg/L,90,0.04,3.52,0.281,0.114,0.057,0.088,0.186,1.331,2,1.1% (1)
Cl,mg/L,90,0.684,697.0,61.616,16.4,2.12,6.498,67.65,254.95,250,5.6% (5)
SO4,mg/L,90,0.06,225.0,40.313,32.6,9.493,23.525,44.15,95.975,250,0.0% (0)
Br,mg/L,90,0.014,5.813,0.125,0.033,0.021,0.027,0.054,0.164,2,1.1% (1)
NO3-NO3,mg/L,90,0.038,27.8,3.653,1.515,0.108,0.3,6.095,12.27,44,0.0% (0)
Al,mg/L,90,0.01,0.02,0.011,0.01,0.01,0.01,0.01,0.02,0.05-0.2,0.0% (0)
Ba,mg/L,90,0.04,2.05,0.17,0.13,0.05,0.082,0.16,0.31,2,1.1% (1)
Ca,mg/L,90,0.67,295.0,84.24,84.3,6.81,56.65,105.5,159.45,-,-
Fe,mg/L,90,0.005,2.12,0.058,0.005,0.005,0.005,0.005,0.196,0.3,4.4% (4)
K,mg/L,90,0.03,7.01,1.989,1.855,0.833,1.368,2.56,3.536,-,-
Mg,mg/L,90,0.31,53.7,16.02,14.85,2.228,10.325,20.375,31.265,-,-
Mn,mg/L,90,0.005,0.43,0.036,0.005,0.005,0.005,0.03,0.195,0.05,16.7% (15)
Na,mg/L,90,2.04,622.0,54.885,15.4,3.436,6.695,57.1,241.35,-,-
P,mg/L,90,0.01,0.29,0.028,0.02,0.01,0.01,0.02,0.07,-,-
Si,mg/L,90,1.05,9.62,5.571,5.32,3.474,4.772,6.212,8.402,-,-
Sr,mg/L,90,0.1,2.14,0.609,0.46,0.14,0.32,0.678,1.648,4,0.0% (0)
Li,µg/L,90,0.27,61.9,11.152,9.86,3.396,6.475,13.175,20.195,10,48.9% (44)
Be,µg/L,90,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,4,0.0% (0)
Ni,µg/L,90,0.05,2.19,0.378,0.275,0.06,0.162,0.46,1.126,100,0.0% (0)
Cu,µg/L,90,0.05,23.2,3.5,2.41,0.059,0.7,4.828,9.772,1000,0.0% (0)
As,µg/L,90,0.05,3.58,0.302,0.11,0.05,0.05,0.18,1.537,10,0.0% (0)
Cd,µg/L,90,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,5,0.0% (0)
Tl,µg/L,90,0.05,1.54,0.091,0.05,0.05,0.05,0.05,0.21,2,0.0% (0)
Pb,µg/L,90,0.05,1.59,0.271,0.185,0.05,0.07,0.358,0.694,15,0.0% (0)
U,µg/L,90,0.05,0.97,0.311,0.26,0.05,0.07,0.478,0.735,30,0.0% (0)
87Sr/86Sr,-,80,0.7111,0.7131,0.7118,0.7117,0.7113,0.7115,0.7121,0.7128,-,-
Benzene,µg/L,84,0.04,0.77,0.113,0.04,0.04,0.04,0.045,0.549,5,0.0% (0)
Toluene,µg/L,84,0.04,3.29,0.432,0.04,0.04,0.04,0.122,3.103,1000,0.0% (0)
Ethylbenzene,µg/L,84,0.04,9.49,1.263,0.04,0.04,0.04,0.11,9.21,700,0.0% (0)
"m,p-Xylene",µg/L,84,0.08,0.954,0.105,0.08,0.08,0.08,0.08,0.15,10000,0.0% (0)
o-Xylene,µg/L,84,0.06,0.464,0.074,0.06,0.06,0.06,0.06,0.117,10000,0.0% (0)
Xylene(total),μg/L,84,0.14,1.418,0.179,0.14,0.14,0.14,0.14,0.267,10000,0.0% (0)
Methane,mg/L,89,0.0,57.0,1.195,0.001,0.0,0.0,0.009,5.48,10,3.4% (3)
Ethane,mg/L,89,0.0,0.58,0.016,0.0,0.0,0.0,0.0,0.032,-,-
Propane,mg/L,89,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,-,-
δ13C1(‰),-,8,-77.16,-51.5,-66.498,-65.535,-76.145,-71.2,-64.108,-55.7,-,-
δDC1(‰),-,8,-219.3,-153.9,-191.913,-196.55,-213.945,-202.725,-184.675,-161.18,-,-
δ13C2(‰),-,1,-35.2,-35.2,-35.2,-35.2,-35.2,-35.2,-35.2,-35.2,-,-
