,Analyte,Unit,n,Min,Max,Mean,Median,5th Percentile,25th Percentile,75th Percentile,95th Percentile,MCL/SMCL limit,% Exceeding MCL/SMCL
0,DO,mg/L,8,0.345,9.92,4.703,4.153,0.345,0.578,9.008,9.619,-,-
1,SC,µS/cm,8,468.9,970.0,638.362,572.0,479.435,539.5,697.5,915.05,-,-
2,pH,pH unit,8,6.67,8.1,7.232,7.155,6.761,7.012,7.388,7.869,6.5-8.5,0.0% (0)
4,Alkalinity,mg CaCO3/L,8,189.0,370.0,277.65,273.6,204.4,253.25,310.0,350.05,-,-
5,Air [CH4],"ppm, max",5,5.0,132.0,32.6,5.0,5.0,5.0,16.0,108.8,-,-
6,F,mg/L,8,0.068,0.999,0.258,0.15,0.074,0.097,0.239,0.748,2,0.0% (0)
7,Cl,mg/L,8,1.59,108.0,21.804,7.29,2.724,6.075,14.055,80.805,250,0.0% (0)
8,SO4,mg/L,8,0.077,48.7,29.972,29.8,7.295,21.0,44.55,47.51,250,0.0% (0)
9,Br,mg/L,8,0.022,0.262,0.066,0.029,0.023,0.027,0.06,0.199,2,0.0% (0)
10,NO3-NO3,mg/L,8,0.147,2.06,1.073,1.205,0.158,0.274,1.66,2.004,44,0.0% (0)
11,Al,mg/L,8,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05-0.2,0.0% (0)
12,Ba,mg/L,8,0.06,1.03,0.222,0.11,0.064,0.078,0.155,0.729,2,0.0% (0)
13,Ca,mg/L,8,8.35,108.0,78.469,95.35,21.738,56.725,107.0,107.65,-,-
14,Fe,mg/L,8,0.005,2.12,0.269,0.005,0.005,0.005,0.005,1.38,0.3,12.5% (1)
15,K,mg/L,8,0.95,2.59,1.6,1.425,0.96,1.122,2.08,2.464,-,-
16,Mg,mg/L,8,3.1,19.9,13.69,13.7,5.487,10.205,19.375,19.795,-,-
17,Mn,mg/L,8,0.005,0.15,0.032,0.008,0.005,0.005,0.03,0.118,0.05,25.0% (2)
18,Na,mg/L,8,3.48,191.0,37.169,10.75,3.529,3.868,34.35,138.85,-,-
19,P,mg/L,8,0.01,0.17,0.042,0.025,0.014,0.02,0.032,0.124,-,-
20,Si,mg/L,8,4.2,8.96,5.58,4.855,4.221,4.56,6.042,8.34,-,-
21,Sr,mg/L,8,0.27,1.77,0.639,0.385,0.288,0.342,0.663,1.542,4,0.0% (0)
22,Li,µg/L,8,3.72,16.7,9.214,7.625,4.27,6.16,11.875,16.35,10,37.5% (3)
23,Be,µg/L,8,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,4,0.0% (0)
24,Ni,µg/L,8,0.05,0.54,0.279,0.27,0.089,0.175,0.355,0.501,100,0.0% (0)
25,Cu,µg/L,8,0.05,5.61,1.842,1.445,0.057,0.235,2.472,4.976,1000,0.0% (0)
26,As,µg/L,8,0.05,3.58,1.161,0.095,0.05,0.05,2.312,3.528,10,0.0% (0)
27,Cd,µg/L,8,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,5,0.0% (0)
28,Tl,µg/L,8,0.05,0.38,0.13,0.05,0.05,0.05,0.158,0.352,2,0.0% (0)
29,Pb,µg/L,8,0.05,0.36,0.166,0.055,0.05,0.05,0.352,0.36,15,0.0% (0)
30,U,µg/L,8,0.05,0.52,0.195,0.18,0.05,0.05,0.262,0.432,30,0.0% (0)
31,87Sr/86Sr,-,8,0.7113,0.7119,0.7116,0.7115,0.7114,0.7115,0.7117,0.7119,-,-
32,Benzene,µg/L,8,0.04,0.14,0.053,0.04,0.04,0.04,0.04,0.105,5,0.0% (0)
33,Toluene,µg/L,8,0.04,2.86,0.419,0.04,0.04,0.04,0.128,1.922,1000,0.0% (0)
34,Ethylbenzene,µg/L,8,0.04,9.21,2.342,0.075,0.04,0.04,2.37,9.189,700,0.0% (0)
35,"m,p-Xylene",µg/L,8,0.08,0.15,0.094,0.08,0.08,0.08,0.09,0.139,10000,0.0% (0)
36,o-Xylene,µg/L,8,0.06,0.1,0.065,0.06,0.06,0.06,0.06,0.086,10000,0.0% (0)
37,Xylene(total),μg/L,8,0.14,0.25,0.159,0.14,0.14,0.14,0.15,0.225,10000,0.0% (0)
38,Methane,mg/L,8,0.0,13.0,1.628,0.001,0.0,0.0,0.006,8.456,10,12.5% (1)
39,Ethane,mg/L,8,0.0,0.44,0.055,0.0,0.0,0.0,0.0,0.286,-,-
40,Propane,mg/L,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-
41,δ13C1(‰),-,1,-51.5,-51.5,-51.5,-51.5,-51.5,-51.5,-51.5,-51.5,-,-
42,δDC1(‰),-,1,-174.7,-174.7,-174.7,-174.7,-174.7,-174.7,-174.7,-174.7,-,-
43,δ13C2(‰),-,1,-35.2,-35.2,-35.2,-35.2,-35.2,-35.2,-35.2,-35.2,-,-
